delta_index,pair_index,delta,alpha,beta,eta,peak_number,xM_peak,FWHM,Q,WT_peak,origin,D0_confirmed,xM_D0,above_qmin,thin_width
1,140,0.05,0.002777777777777778,0.004555555555555556,-0.2424242424242424,1,0.08953647655495937,0.008403070679564542,10.655209264477978,3711.342711511942,malha_global,False,,,
1,160,0.05,0.001888888888888889,0.002777777777777778,-0.19047619047619047,1,0.0734513868157115,0.005663949822835884,12.968226964082657,6665.417587433105,malha_global,False,,,
1,161,0.05,0.003666666666666667,0.0054444444444444445,-0.19512195121951215,1,0.10240160106737825,0.01099225630485591,9.315794521834574,2468.3288444492787,malha_global,False,,,
1,180,0.05,0.001,0.001,0.0,1,0.05223961889991197,0.0028698708632863418,18.20277684553772,18236.604621534316,malha_global,False,,,
1,220,0.05,0.002777777777777778,0.001888888888888889,0.19047619047619047,1,0.08433347577642757,0.007475080792799849,11.28194839815769,4435.163483489445,malha_global,False,,,
1,260,0.05,0.001888888888888889,0.001,0.3076923076923077,1,0.06760829753919818,0.00484227169360843,13.962103288924895,8943.771467792772,malha_global,False,,,
1,280,0.05,0.002777777777777778,0.001,0.47058823529411764,1,0.07798301105232586,0.006411450093482873,12.163084780398465,6776.531224785669,malha_global,False,,,
1,300,0.05,0.003666666666666667,0.001,0.5714285714285715,1,0.08550667128846832,0.007712823438606714,11.086299585241733,6000.948687080751,malha_global,False,,,
1,320,0.05,0.004555555555555556,0.001,0.64,1,0.09162204901220002,0.008803808779501168,10.40709212421029,5686.091720602348,malha_global,False,,,
1,340,0.05,0.006333333333333334,0.001,0.7272727272727273,1,0.1,0.010510711575655654,9.514103710315355,5519.456805372303,malha_global,False,,,
2,0,0.1,0.001,0.027777777777777776,-0.9305019305019304,1,0.05701642722807478,0.003577083908004347,15.939359739504745,15812.26600452544,malha_global,False,,,
2,1,0.1,0.001888888888888889,0.7222222222222222,-0.9947828755562373,1,0.07620790100254123,0.005976318671315192,12.751646154399321,6773.543188640612,malha_global,False,,,
2,2,0.1,0.002777777777777778,54.44444444444444,-0.9998979643895719,1,0.03767037989839089,0.00031487810075769146,119.63480409639357,48662.79296361435,malha_global,True,0.037718417370172,,
2,4,0.1,0.0054444444444444445,45.55555555555556,-0.9997610041726721,1,0.056754460540854715,0.0007448295231062066,76.1979201685887,14201.195383032404,malha_global,True,0.056883484907980404,,
2,6,0.1,0.00811111111111111,90.0,-0.999819769329431,1,0.051760683195056764,0.00033376264593763805,155.0823132098731,21286.2441708926,malha_global,True,0.05174040496750539,,
2,8,0.1,0.01888888888888889,722.2222222222222,-0.9999476936757038,1,0.02924152377843337,0.0002760994887945206,105.90937312526341,1150.5389806657818,malha_global,True,0.029176211302588316,,
2,9,0.1,0.03666666666666667,90.0,-0.999185517011588,1,0.11020680453635757,0.0014944701272821964,73.74306285852414,2128.309214206852,malha_global,True,0.11003653629859372,,
2,10,0.1,0.05444444444444445,81.11111111111111,-0.998658434749278,1,0.14022681787858574,0.0025311767221298243,55.399852824418275,1053.9443532892246,malha_global,True,0.14051836729965558,,
2,11,0.1,0.07222222222222222,100.0,-0.9985565980125465,1,0.1474316210807205,0.0022474851738561175,65.59848438411055,936.6767544600539,malha_global,True,0.14726273557741454,,
2,12,0.1,0.09,188.88888888888889,-0.9990475126557345,1,0.12221480987324884,0.0008777834843781557,139.23115671267038,1669.592592151742,malha_global,True,0.12219246238787314,,
2,13,0.1,0.18888888888888888,633.3333333333333,-0.9994036866197801,1,0.0986279485631211,0.0009361605626513614,105.35366741340871,391.40687880654013,malha_global,True,0.0984089702208784,,
2,17,0.1,3.6666666666666665,544.4444444444445,-0.9866207176160553,1,0.46444296197464974,0.0033987196778738626,136.6523296988092,38.46537864414116,malha_global,True,0.46448440181348905,,
2,18,0.1,8.11111111111111,900.0,-0.9821363024593173,1,0.5376917945296864,0.002611790774424305,205.87092955338477,26.510510938847613,malha_global,True,0.5375825084029235,,
2,20,0.1,0.001,0.009,-0.8000000000000002,1,0.05649369748123028,0.0035113078097487108,16.089075792325165,15608.02916855759,malha_global,False,,,
2,40,0.1,0.001,0.006333333333333334,-0.7272727272727273,1,0.05597576014951104,0.0034557700060200078,16.197767806306658,15577.844920323043,malha_global,False,,,
2,60,0.1,0.001,0.004555555555555556,-0.64,1,0.0554625712957911,0.0033923114860324247,16.349492528664857,15546.085289058445,malha_global,False,,,
2,61,0.1,0.001888888888888889,0.01,-0.6822429906542055,1,0.07655966069112562,0.006459267401575652,11.85268482188087,6000.5181244242885,malha_global,False,,,
2,80,0.1,0.001,0.003666666666666667,-0.5714285714285715,1,0.05495408738576248,0.0033399732097069215,16.45345155046457,15520.212972660616,malha_global,False,,,
2,81,0.1,0.001888888888888889,0.007222222222222223,-0.5853658536585367,1,0.07585775750291836,0.006317612809336778,12.007345146383209,5991.272246357081,malha_global,False,,,
2,100,0.1,0.001,0.002777777777777778,-0.47058823529411764,1,0.05420008904016239,0.003262725374175761,16.611906557981325,15542.07071025959,malha_global,False,,,
2,101,0.1,0.001888888888888889,0.0054444444444444445,-0.48484848484848486,1,0.07481695005111545,0.006157022272661294,12.1514827684352,6017.1110614307845,malha_global,False,,,
2,120,0.1,0.001,0.001888888888888889,-0.3076923076923077,1,0.05296634438916581,0.003098512128253121,17.094122016242412,15958.325233619724,malha_global,False,,,
2,121,0.1,0.002777777777777778,0.006333333333333334,-0.39024390243902446,1,0.08953647655495937,0.008815168554996256,10.15709183509735,3407.8761351765747,malha_global,False,,,
